Date[G],Last
20040108,4786.451
20040111,4784.621
20040112,4702.453
20040113,4690.518
20040114,4532.781
20040115,4663.715
20040119,4772.31
20040120,4748.742
20040121,4735.178
20040122,4734.685
20040125,4654.702
20040126,4625.301
20040127,4582.724
20040128,4511.56
20040129,4518.907
20040201,4631.38
20040202,4583.887
20040203,4509.784
20040204,4509.672
20040205,4461.228
20040208,4493.517
20040209,4562.886
20040210,4577.095
20040211,4603.752
20040212,4657.848
20040216,4698.227
20040217,4673
20040218,4681.898
20040219,4636.61
20040222,4654.129
20040223,4685.733
20040224,4778.285
20040225,4802.513
20040226,4854.228
20040229,4929.981
20040301,4894.271
20040302,4778.157
20040303,4839.93
20040304,4883.844
20040307,4800.854
20040308,4779.435
20040309,4766.075
20040310,4866.71
20040311,4813.356
20040314,4936.002
20040315,4944.508
20040316,5032.855
20040317,5021.358
20040318,5023.362
20040321,5002.141
20040322,5022.874
20040323,4980.062
20040324,4854.129
20040325,4879.906
20040328,4860.064
20040329,4973.069
20040330,4951.779
20040331,4858.13
20040401,4844.51
20040404,4828.795
20040405,4887.567
20040406,4985.511
20040407,5061.882
20040411,5096.446
20040412,5011.137
20040413,5023.751
20040414,5043.101
20040415,5033.651
20040418,5011.703
20040419,4987.037
20040420,4891.726
20040421,4970.454
20040422,4941.592
20040425,5006.284
20040426,5082.423
20040427,5061.861
20040428,5074.502
20040429,5088.348
20040502,5184.135
20040503,5288.169
20040504,5330.256
20040505,5300.887
20040506,5347.077
20040509,5217.666
20040510,5321.15
20040511,5375.812
20040512,5403.673
20040513,5395.737
20040516,5396.106
20040517,5299.093
20040518,5446.429
20040519,5364.336
20040520,5301.083
20040523,5490.401
20040524,5437.544
20040525,5410.289
20040526,5300.05
20040527,5323.78
20040531,5575.018
20040601,5369.802
20040602,5276.092
20040603,5204.176
20040606,5220.047
20040607,5112.222
20040608,5122.35
20040609,5172.032
20040613,5123.203
20040614,5083.889
20040615,5122.709
20040616,5239.901
20040617,5243.603
20040620,5145.999
20040621,5173.889
20040622,5154.527
20040623,5206.092
20040624,5167.702
20040627,5020.953
20040628,4966.769
20040629,5073.563
20040630,5213.593
20040701,5195.387
20040705,5315.322
20040706,5279.786
20040707,5338.452
20040708,5300.514
20040711,5242.021
20040712,5215.953
20040713,5346.981
20040714,5306.907
20040715,5327
20040718,5329.233
20040719,5247.108
20040720,5240.777
20040721,5328.972
20040722,5354.293
20040725,5308.386
20040726,5331.122
20040727,5421.544
20040728,5405.812
20040729,5466.899
20040801,5440.564
20040802,5466.767
20040803,5349.593
20040804,5470.421
20040805,5418.383
20040808,5489.309
20040809,5460.915
20040810,5448.823
20040811,5491.787
20040812,5600.029
20040815,5556.966
20040816,5603.128
20040817,5602.604
20040818,5722.211
20040819,5657.572
20040822,5594.52
20040823,5521.61
20040824,5373.5
20040825,5316.448
20040826,5307.564
20040829,5281.347
20040830,5254.619
20040831,5400.46
20040901,5378.233
20040902,5335.016
20040906,5289.012
20040907,5252.342
20040908,5400.152
20040909,5263.937
20040912,5369.479
20040913,5414.655
20040914,5342.599
20040915,5357.246
20040916,5498.375
20040919,5541.125
20040920,5649.908
20040921,5772.053
20040922,5783.536
20040923,5774.946
20040926,5819.26
20040927,5872.92
20040928,5909.442
20040929,5917.433
20040930,5945.2
20041003,5909.237
20041004,6035.035
20041005,6096.617
20041006,6162.95
20041007,6221.759
20041010,6244.424
20041011,6137.724
20041012,6183.165
20041013,6256.505
20041014,6260.626
20041017,6161.212
20041018,6187.834
20041019,6336.232
20041020,6366.644
20041021,6434.973
20041024,6372.975
20041025,6473.317
20041026,6235.251
20041027,6114.293
20041028,6162.906
20041031,6019.885
20041101,5969.872
20041102,6077.734
20041103,5901.893
20041104,5921.539
20041107,5867.024
20041108,5743.481
20041109,5877.774
20041110,5751.092
20041111,5738.77
20041114,5722.887
20041115,5654.947
20041116,5775.808
20041117,5716.518
20041118,5892.063
20041121,5831.474
20041122,5870.995
20041123,5992.225
20041125,5981.56
20041128,5943.669
20041129,5864.785
20041130,5592.739
20041201,5339.155
20041202,5292.873
20041205,5333.545
20041206,5186.984
20041207,5222.841
20041208,5299.327
20041209,5164.698
20041212,5253.96
20041213,5312.747
20041214,5494.38
20041215,5443.495
20041216,5648.815
20041219,5547.395
20041220,5543.695
20041221,5427.464
20041222,5407.898
20041226,5187.065
20041227,5215.491
20041228,5282.592
20041229,5281.947
20041230,5278.977
20050102,5173.254
20050103,5251.958
20050104,5208.853
20050105,5395.42
20050106,5386.834
20050109,5403.227
20050110,5423.666
20050111,5441.543
20050112,5610.522
20050113,5612.084
20050117,5593.591
20050118,5576.153
20050119,5541.551
20050120,5639.899
20050123,5681.934
20050124,5747.46
20050125,5712.788
20050126,5690.646
20050127,5558.478
20050130,5635.918
20050131,5557.079
20050201,5506.54
20050202,5457.205
20050203,5448.192
20050206,5354.458
20050207,5381.61
20050208,5400.724
20050209,5537.747
20050210,5533.724
20050213,5552.091
20050214,5555.664
20050215,5616.331
20050216,5571.233
20050217,5625.297
20050221,5863.408
20050222,5886.816
20050223,5896.741
20050224,5936.05
20050227,5986.822
20050228,5974.31
20050301,6092.654
20050302,6138.325
