"","V1","V2","V3","V4"
"",0,0.9163,0.0837,0
"",0,0.9222,0.0777,0
"",0,0.9298,0.0701,1e-04
"",0,0.9364,0.0636,0
"",0,0.9442,0.0558,1e-04
"",0,0.953,0.0469,1e-04
"",0,0.9594,0.0405,1e-04
"",0,0.9657,0.0343,0
"",0,0.9735,0.0265,0
"",0,0.9826,0.0174,0
"",0,0.9878,0.0122,1e-04
"",0,0.9965,0.0033,3e-04
"",0,0.9954,0.0045,1e-04
"",0,0.9961,0.0038,1e-04
"",0,0.9981,0.0017,2e-04
"",0,0.9966,0.0033,0
"",0,0.9976,0.0024,0
"",0,0.9985,0.0013,2e-04
"",0,0.9997,3e-04,0
"",0,0.9999,1e-04,0
"",0,1,0,0
