Nasdaq	NYSE
1.02044318	0.353420796
0.964670357	0.601039741
0.945443301	1.395411262
0.035030652	-0.38661252
0.140000023	0.398745939
0	0
0.567985185	0.422536693
-0.717992713	-1.078635939
0.309767922	0.18058255
0.933472518	0.360189732
0	0
0.596222417	0.512489233
0.30413052	1.042283444
-0.048990791	0.076510183
-3.348427013	-2.366423415
-0.742552491	-1.419652176
0.899510575	0.314750133
0.393840448	0.103872988
-0.196726336	-0.222717241
0.518722992	0.26225954
0.386033117	0.572841559
0.638438001	0.441247483
0.223485976	-0.298855021
-1.428952618	-1.950876569
-0.317532587	-0.291864947
-0.490879253	-0.838986051
0.202716469	-0.053145722
-0.706214036	-0.362650022
0.533931247	0.989737894
0.096312262	-0.547379878
0.258064659	-0.120218939
-0.035381233	-0.56378954
-2.415057257	-2.178112753
0.243114047	1.109145224
0.520445356	0.217278195
0.880116207	0.905157102
0.801709185	0.697547471
-0.476191376	-1.04815438
-0.116861025	-0.094555405
-0.453492408	-0.691431729
-0.614724542	-0.573178441
-0.370656795	-0.34237282
0	0
0.046407302	0.575138569
0.385892275	0.503759931
-1.027185329	-1.451129973
-0.233748126	-0.109590482
0.399637226	0.536368828
0.454781146	0.096034061
0.025777847	0.752097001
1.097109333	1.257588552
0.95398298	0.989267894
0.528875235	0.59740633
-0.357313986	-0.997247935
0.201460657	0.200751306
0.150829591	-0.628849333
0.42111658	-0.067294326
0.124990642	0.842349887
-0.556155453	-0.481015983
-0.438078195	-0.267388309
1.258698262	2.308007022
0.744715983	0.065697731
0.626219349	1.133589438
-0.122961922	-0.493749314
0.397849195	0.233667954
0.220345297	-0.45554239
0.895949899	0.585667623
0.642653996	1.186606524
0.038524512	-0.629965477
0.772167574	1.662369659
0.105052058	-0.495574532
-0.339429034	-1.07655672
0.067020923	-0.297851783
0.582146035	1.17041425
0.550390458	0.446074089
0.292936661	-0.063775129
0.325004408	-0.549183341
-0.651068539	-1.094037575
0.231662161	0.013459033
0.489919955	0.322474536
0.520260835	0.322653586
0.578009347	-0.026746745
-0.381857594	-1.085611777
-0.439540594	-0.455839841
0.742352313	1.129622542
0.769198918	0.386291417
0	0
0.419171944	0.526457462
-0.377636997	-0.912748879
0.212020728	-0.06473085
0.381425522	-0.037880871
0.703874198	0.86159172
0.145639931	0.229960282
-1.028556987	-0.873018045
-0.649996526	-0.918853863
0.240207063	-0.039392858
-0.027686771	-0.078832301
-1.562822506	-1.614881745
-0.833200857	-0.292212683
0.203055343	0.397350686
0.789403592	0.633489667
0.550759852	0.065861829
-0.958780116	-1.428828091
0.154962347	0.729476595
0.309206149	-0.052555184
0.652743832	0.607699793
0.616184859	0.680666927
0.198408186	0.248051811
-0.378700864	-0.339529553
0.696256415	0.079120775
0.330290681	-0.117467416
0.402212709	-0.236589751
0	0
0.459645381	1.031433027
0.872499375	0.68500959
0.511808606	-0.18058255
0.071623621	-0.583013471
-0.201572332	-0.103238502
-1.549928228	-1.335688651
-0.319285073	-0.026173606
0.360262149	0.198001372
0.734730504	0.928718737
-0.208078964	0.039434121
-0.376545755	-0.287485932
0.177107741	0.313356125
0.876366453	1.101261214
0.188721692	-0.038992056
0.089742445	0.064572332
-1.07319423	-1.100977988
0.013599583	0.700689441
-0.864978533	-1.222948313
0.387889231	0.45697145
-0.438196794	-0.208465756
0.287783128	1.078329843
-0.210045739	-0.543852394
0.246530439	0.142373238
0.204978777	-0.181684312
-0.703231356	-0.507515255
-1.138339826	-0.563493407
-0.520471457	-1.029888077
-0.856285793	-0.853128146
0	0
-1.754015103	-0.994590144
-0.522645097	0.539222304
0.206507457	0.147365238
0.759914762	0.748707178
0.242528117	0.120885501
0.151874733	0.172260999
-0.465846733	-0.026385722
0.456361317	0.450115169
0.558105786	0.132516584
0.348416003	0.342976496
-1.653948562	-1.485113716
-0.748240816	-0.335436983
-0.749030974	-0.928615861
0.12119157	0.148341417
0.767359766	0.79422065
0.680372516	0.960132533
-0.243826765	-0.504781379
0.019145168	0.012619093
0.515538876	0.612630622
0.758908922	0.712307128
-0.582898601	-0.329279998
-0.147447053	0.448749865
0.446429313	1.137739045
0.302815467	0.116749941
-0.146561736	-0.546826329
-0.246328879	0.416549165
0.392890615	0.970530881
0.132193967	-0.296401322
0.193254992	0.141601586
-0.113079545	-0.68545398
-1.171267865	-0.940318144
-1.267237234	-0.960509686
0.101392955	0.237559502
0.361280771	0.197120607
-0.58351382	-1.032318961
-2.944853554	-2.945655206
-1.495486294	-0.467995238
0.015167219	-0.12386486
-0.501736856	-1.137576149
0.370211139	0.417432675
-0.915338199	-1.07542124
-0.296736123	0.112840608
0.112658758	0.391960035
-1.755427389	-1.848718172
-1.236848219	-1.001226061
0	0
-2.585475996	-1.901289299
-0.010823682	0.351401817
1.493366816	1.464183102
1.19780953	1.186503898
-0.100150234	-0.756004357
-0.031647239	-0.647128258
-0.922153972	-0.752984678
-1.129774017	-1.447876356
-0.778424386	-0.830240469
0.075946624	0.653010925
-0.625563005	-0.414293705
-1.800461575	-1.029134749
0.221987993	-0.480114559
-2.96497205	-2.222985621
-0.051406541	2.237223334
1.968723426	0.630120019
0.847888161	0.224689028
0.587064158	0.743936997
1.795046283	1.994739612
0.831807756	0.203059684
-0.021518102	0.042480593
1.553481128	1.582156637
1.17434668	0.866050407
0.136025971	-0.581911486
0.005228075	-0.170925258
0.334029538	-0.199557803
-1.305905539	-1.582162961
0.221472354	0.606982137
0.205214626	-0.375511649
-0.247362038	-0.158821469
0.766407951	1.052268249
0.599569065	-0.128893098
0.025986851	-0.389042034
-0.27059391	-0.810131013
-0.470072943	-0.363401504
0.83416364	0.899206388
0.590124914	0.202064402
-0.346405744	-0.36072512
1.112496023	2.218748587
1.024238871	1.976508731
0.772672581	0.457055348
0.476776894	0
0.145090707	-0.818676592
-0.025000625	-0.64362448
-0.025006877	0.476178779
-0.010004502	-0.348975899
0.07500938	0.166708603
0.468782027	0.209974524
-0.413810886	-1.178373221
-1.510146488	-1.22079665
0.263397984	0.568604413
-0.040477637	-0.511868355
-0.141800895	0.470208687
0.646597525	0.904535504
-0.297521714	-0.126623632
0.518827508	1.317011418
0.486155575	0.416390879
0	0.774301875
0.50370403	0
0.173960629	0.902499312
-0.119254673	-0.258134606
-0.388562808	-1.071905179
-0.224859558	0.344261352
0.489047334	0.809028139
-0.584140057	-0.809028139
-0.794293337	-0.399139642
0.08072247	0.453799386
0.317212824	0.206655953
-0.140859265	-0.563785224
-1.506457441	-1.657565614
-0.260983184	0.155202292
-0.03587444	-0.407754531
0.312188385	0.435585874
0.667161447	0.697225817
-0.325385411	-0.473531325
-0.372439909	-0.364255699
-0.097164343	-0.421540375
0.127828216	0.19702866
0	-0.239680541
-0.286562472	0
-0.632311579	-0.509226637
0.38603131	0.453218421
0.604355233	0.295688757
0	0
-0.158417899	0.126266839
-1.650117367	-2.100677897
-0.615418652	-0.777567597
-0.068032554	-0.231302582
0.537762019	0.490709642
-1.706750108	-2.332728701
-0.78698694	-0.458844742
-0.852437812	-1.223097216
0.086109472	0.494142806
0.76632834	0.670047552
-0.05874029	0.634922768
-0.562446243	-0.9623473
-0.236635584	-0.58160217
0.36547391	0.298281921
-0.306262497	-0.329433687
-1.25086239	-0.209819037
-0.059956942	-0.224482931
0.087198218	0.434301969
1.433270432	2.660749728
1.158551172	1.173532517
-0.836869573	-2.008561291
0.341990287	0.234733741
-0.016004695	-1.120276227
-0.154844252	-0.164280887
0.570136085	0.725290214
-1.920453829	-2.191845383
-1.154885637	-0.877996431
0.251723893	0.712440568
-0.394283409	-0.151523844
0.148038517	-0.030046143
0	-0.333976273
-0.996621965	0
0.298375732	-0.242940125
0.071698428	0.106448792
-0.403282043	-0.533380728
-0.878466674	-1.354823287
-0.886252155	-0.170100488
0.612241079	1.555273009
0.480421012	-0.06070768
-0.005573049	-0.122973663
0.389365271	0.167785274
0.005551392	-0.45918485
-1.189459787	-1.546516847
-0.970936219	-1.003246339
-1.324749574	-0.567563843
-1.704389084	-1.774103591
-0.774788169	1.09025546
0.417488038	0.52495138
-0.193826967	-0.096060045
-1.099561799	-0.732482552
-0.184441522	0.574683885
0.214158321	-0.064694247
-0.047551118	-0.158150426
1.140910316	1.140591348
0.953530288	0.251542504
1.197965656	1.93011564
0.642240868	0.67574207
-0.062894882	-0.46017138
0.564634916	0.231076205
-0.358944065	-0.956833438
0.17108644	0.185956669
-0.045594438	0
0.131028019	-0.200613623
0.940623436	1.491272935
0.702506612	1.108681096
-0.196204901	-0.271723753
0.26338663	0.558377448
0.686022936	0.12097493
0.686869149	0.599861406
0	-0.19530427
-0.143630563	0
-0.071892717	0
-0.193814608	-0.134670609
0.392775655	0.434546357
0.621957587	0.446728148
0.065821954	-0.090030532
-0.236062803	-0.971561067
0.208642254	0.239878047
0.732283725	1.162811994
0.689115291	1.120350607
0.469345128	0.496230915
-0.582966133	-0.937855364
0.09198886	-0.589082765
-0.401041075	-0.893007474
0.298224431	0.194750273
0.146076256	0.267515366
0.52841706	0.54827697
-0.037651615	0.177440021
0.745012156	0.822992704
0.458178745	0.656853066
-0.298110415	-0.788465756
0.32999817	0.846216768
-0.069102993	-0.159584015
-0.212924599	-0.715749477
0.297967657	-0.13182454
-0.703777697	-1.107220739
-0.584906822	-0.77519768
-1.027813873	-0.781253974
-0.649158104	-0.347125849
-0.175284883	0.257245897
-0.379006798	-0.137115456
-0.325221465	-0.332140606
-1.311567095	-1.174159205
-0.21840795	-0.462472283
0.095262118	-0.510029968
0	0
-0.663110044	-0.278764229
0.259023738	0.278764229
-0.40572579	-0.200925498
-1.295767164	-1.563930526
-0.56215372	-0.095483917
-0.32265527	-0.442802944
-1.359616551	-0.63621196
0.251234393	0.4621449
1.264078064	1.527702953
-0.809955252	-1.084130273
-0.5592139	-0.317493864
0.145930038	-0.603313273
